"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"3154",2.6069228590554,0.233874645118243,NA,NA,NA,-0.0352827840358846,NA,0.164361980328669,NA,NA,NA,0.0807626028209091,0.0354465641569086,NA,9,-2.7344485856521,25.5865442301277,46.6605672249038,3.21214773008651e-11
"4626",2.60619811457969,0.126322275876892,NA,NA,NA,-0.0369821892028648,NA,NA,NA,NA,0.0430113878950999,NA,NA,0.128658748946806,8,-3.95634894604734,25.5871164967458,46.6611394915219,3.21122875910771e-11
"4682",2.58296005235106,0.177319671557004,NA,NA,0.0100815413037982,NA,NA,0.152959794247913,NA,NA,0.0010247350496821,NA,NA,0.0612604427417625,9,-2.73877875920365,25.5952045772308,46.6692275720069,3.19826864405418e-11
"49",2.58674807881682,NA,NA,NA,NA,0.0250159375394226,0.0494174356520518,NA,NA,NA,NA,NA,NA,NA,6,-6.32077581051415,25.5960970755738,46.6701200703498,3.19684173772323e-11
"697",2.54003908007509,NA,NA,NA,0.0458026467474166,-0.0117514028697565,0.0851450902339265,NA,0.340066083843817,NA,-0.0353349320130113,NA,NA,NA,9,-2.74135900297257,25.6003650647687,46.6743880595448,3.19002696865235e-11
"3273",2.52056127001649,NA,NA,NA,0.0215895488103505,NA,NA,0.101632641239642,0.261527594951737,NA,NA,-0.0478622733839689,-0.0461416169257948,NA,9,-2.75221433614728,25.6220757311181,46.6960987258942,3.15558543842434e-11
"4146",2.59942838973342,0.110794931439587,NA,NA,NA,-0.00800589392355606,0.0464828683335325,NA,NA,NA,NA,NA,NA,0.16613736902537,8,-3.9772757539907,25.6289701126326,46.7029931074086,3.14472626104869e-11
"21",2.58560665651887,NA,NA,0.0244140071932583,NA,0.0176421492181973,NA,NA,NA,NA,NA,NA,NA,NA,6,-6.33868099688206,25.6319074483096,46.7059304430857,3.14011109263244e-11
"1606",2.60037951242138,0.242398625527126,NA,-0.00277699724394261,NA,NA,NA,0.163256225353267,NA,NA,0.0072775695447419,0.0794538710147382,NA,NA,9,-2.75955502915073,25.636757117125,46.7107801119011,3.13250606740077e-11
"2634",2.5884597897875,0.194749219546717,NA,NA,0.0323947727525837,NA,NA,0.165861992663901,NA,NA,0.0100066745976128,NA,0.0211678747821415,NA,9,-2.78715614125396,25.6919593413314,46.7659823361075,3.04722771873821e-11
"1029",2.58830818266329,NA,NA,0.00436861898721408,NA,NA,NA,NA,NA,NA,NA,-0.00455915743040925,NA,NA,6,-6.37857420424854,25.7116938630425,46.7857168578186,3.0173077846057e-11
"4678",2.58162599085019,0.177804274205677,NA,-0.0161762604206284,NA,NA,NA,0.156851312366131,NA,NA,-0.00578541947677176,NA,NA,0.0662598250068233,9,-2.80978361198402,25.7372142827916,46.8112372775676,2.97905090600824e-11
"4757",2.53813075490586,NA,NA,-0.0208085693225958,NA,-0.0468739119495935,NA,NA,0.313817573613204,NA,-0.0898788400303068,NA,NA,0.096672479615162,9,-2.8143865793708,25.7464202175651,46.8204432123412,2.96536994251392e-11
"6249",2.54573855425977,NA,NA,NA,-0.0822548348115312,NA,0.141505388942945,0.190018431609243,NA,NA,NA,NA,0.0143589557546224,0.123407505215096,9,-2.81881163358392,25.7552703259914,46.8292933207674,2.95227700958985e-11
"2630",2.58366422645297,0.186024587634412,NA,-0.0102959777377151,NA,NA,NA,0.17279604204242,NA,NA,0.0211427171378821,NA,0.00513527064836375,NA,9,-2.8218310659711,25.7613091907657,46.8353321855418,2.94337625314964e-11
"6226",2.58736739485056,0.162510980722434,NA,NA,NA,-0.0379531776162062,NA,0.154693614731056,NA,NA,NA,NA,0.0318123380015527,0.0640716724829023,9,-2.82422335296631,25.7660937647562,46.8401167595322,2.93634326823055e-11
"2233",2.54542185080791,NA,NA,NA,0.0393451757736773,-0.0163259072066883,0.0882965758065961,NA,0.308664013391242,NA,NA,NA,-0.00936244717540761,NA,9,-2.826969706337,25.7715864714975,46.8456094662736,2.92829009548914e-11
"7809",2.53014324842654,NA,NA,NA,NA,NA,NA,NA,0.313447778800349,NA,-0.0977628310258031,-0.0135859022451845,-0.00748066859645002,0.0906605907554144,9,-2.82865763962208,25.7749623380677,46.8489853328438,2.92335150634563e-11
"4186",2.58339664267102,0.166053345298311,NA,NA,0.000284078975166713,-0.0202785615698809,NA,0.155265654240143,NA,NA,NA,NA,NA,0.0763541733965597,9,-2.84111715468983,25.7998813682032,46.8739043629793,2.88715393457271e-11
"5321",2.52791774985793,NA,NA,NA,0.0280456509483011,NA,NA,0.0948776118519791,0.215219135542906,NA,NA,-0.0663321659388625,NA,0.0162652699332554,9,-2.8542084418731,25.8260639425697,46.9000869373458,2.84960370000917e-11
"3269",2.5196173220813,NA,NA,0.00113607882523893,NA,NA,NA,0.10573490917274,0.260736260449415,NA,NA,-0.0376827737871672,-0.0494680301848014,NA,9,-2.88903050020713,25.8957080592378,46.9697310540139,2.75208243348223e-11
"6181",2.58600084125884,NA,NA,0.108556544948504,NA,NA,0.124237525604433,NA,NA,NA,NA,NA,0.0861635777523981,0.15405041644729,8,-4.1125621453613,25.8995428953738,46.9735658901498,2.74681059667242e-11
"1137",2.55097442230452,NA,NA,NA,NA,0.0063668318579642,0.119274861913791,0.22116842416969,NA,NA,NA,-0.00870822213311324,NA,NA,8,-4.11471147543426,25.9038415555197,46.9778645502958,2.74091313411939e-11
"1546",2.63006917645,0.241805426492316,NA,NA,0.0385152580725855,NA,NA,NA,NA,NA,0.0611944332989576,0.0975839929571491,NA,NA,8,-4.11745633877443,25.9093312822,46.9833542769761,2.73340001809449e-11
"2642",2.58951704272172,0.174235063919328,NA,NA,NA,-0.0375368886762681,NA,0.175458816439713,NA,NA,0.00832228969576667,NA,0.0504136093303528,NA,9,-2.90000966063769,25.9176663800989,46.991689374875,2.72203214425953e-11
"2157",2.55629662120003,NA,NA,0.125826536803735,-0.0396170051571877,NA,0.175525716837616,0.211387625143419,NA,NA,NA,NA,0.131296314797448,NA,9,-2.90323987468949,25.9241268082025,46.9981498029786,2.71325358372566e-11
